return_id,order_id,product_id,return_date,quantity_returned,return_reason,refund_amount,return_status,return_month
RET-00273,ORD-002697,PRD-0008,2026-03-05,23,Quality Issue,262200.0,Completed,2026-03
RET-00274,ORD-002697,PRD-0058,2026-03-06,12,Quality Issue,319770.0,Completed,2026-03
RET-00275,ORD-002697,PRD-0066,2026-03-06,47,Excess Quantity,249100.0,Completed,2026-03
RET-00276,ORD-002700,PRD-0011,2025-06-26,3,Excess Quantity,139443.75,Approved,2025-06
RET-00277,ORD-002700,PRD-0034,2025-07-05,6,Defective Product,15120.0,Completed,2025-07
RET-00278,ORD-002700,PRD-0067,2025-07-02,5,Defective Product,9737.5,Completed,2025-07
RET-00279,ORD-002704,PRD-0034,2026-06-30,7,Damaged in Transit,19600.0,Completed,2026-06
RET-00280,ORD-002704,PRD-0009,2026-06-27,10,Quality Issue,712975.0,Completed,2026-06
RET-00281,ORD-002704,PRD-0031,2026-07-09,7,Incorrect Item,10080.0,Completed,2026-07
RET-00282,ORD-002704,PRD-0045,2026-06-27,12,Customer Requirement Changed,48840.0,Completed,2026-06
RET-00283,ORD-002711,PRD-0030,2026-05-14,1,Excess Quantity,33161.25,Completed,2026-05
RET-00284,ORD-002718,PRD-0036,2026-06-06,14,Incorrect Item,2389100.0,Completed,2026-06
RET-00285,ORD-002733,PRD-0067,2026-06-04,16,Excess Quantity,32800.0,Completed,2026-06
RET-00286,ORD-002743,PRD-0007,2025-04-10,5,Excess Quantity,145468.75,Completed,2025-04
RET-00287,ORD-002755,PRD-0060,2026-01-25,7,Damaged in Transit,115150.0,Completed,2026-01
RET-00288,ORD-002755,PRD-0007,2026-01-27,20,Damaged in Transit,665000.0,Completed,2026-01
RET-00289,ORD-002769,PRD-0066,2026-01-22,7,Incorrect Item,35245.0,Completed,2026-01
RET-00290,ORD-002769,PRD-0045,2026-01-29,1,Quality Issue,4400.0,Completed,2026-01
RET-00291,ORD-002783,PRD-0024,2026-05-07,12,Excess Quantity,199245.0,Completed,2026-05
RET-00292,ORD-002783,PRD-0049,2026-05-28,12,Damaged in Transit,25650.0,Completed,2026-05
RET-00293,ORD-002816,PRD-0066,2026-05-12,23,Customer Requirement Changed,121900.0,Approved,2026-05
RET-00294,ORD-002816,PRD-0030,2026-05-22,9,Defective Product,298451.25,Approved,2026-05
RET-00295,ORD-002825,PRD-0032,2025-07-02,10,Customer Requirement Changed,3641825.0,Completed,2025-07
RET-00296,ORD-002834,PRD-0022,2025-09-09,2,Incorrect Item,27202.5,Approved,2025-09
RET-00297,ORD-002837,PRD-0007,2025-09-02,10,Customer Requirement Changed,307562.5,Approved,2025-09
RET-00298,ORD-002837,PRD-0036,2025-08-14,3,Damaged in Transit,499151.25,Approved,2025-08
RET-00299,ORD-002869,PRD-0030,2025-12-29,7,Excess Quantity,244676.25,Completed,2025-12
RET-00300,ORD-002869,PRD-0065,2026-01-08,21,Customer Requirement Changed,189000.0,Completed,2026-01
RET-00301,ORD-002896,PRD-0033,2026-03-31,9,Excess Quantity,733432.5,Completed,2026-03
RET-00302,ORD-002896,PRD-0069,2026-04-26,9,Incorrect Item,328387.5,Completed,2026-04
RET-00303,ORD-002946,PRD-0012,2026-06-23,8,Defective Product,317090.0,Approved,2026-06
RET-00304,ORD-003001,PRD-0007,2026-05-28,16,Quality Issue,492100.0,Completed,2026-05
RET-00305,ORD-003001,PRD-0068,2026-05-22,3,Damaged in Transit,84825.0,Completed,2026-05
RET-00306,ORD-003001,PRD-0021,2026-05-31,13,Quality Issue,1920896.25,Completed,2026-05
RET-00307,ORD-003017,PRD-0039,2026-01-18,3,Defective Product,38047.5,Approved,2026-01
RET-00308,ORD-003017,PRD-0011,2025-12-27,1,Customer Requirement Changed,46481.25,Completed,2025-12
RET-00309,ORD-003047,PRD-0044,2026-02-03,23,Incorrect Item,75123.75,Approved,2026-02
RET-00310,ORD-003047,PRD-0034,2026-02-12,3,Quality Issue,7980.0,Completed,2026-02
RET-00311,ORD-003047,PRD-0045,2026-02-18,40,Excess Quantity,167200.0,Completed,2026-02
RET-00312,ORD-003047,PRD-0033,2026-01-31,14,Excess Quantity,1110060.0,Completed,2026-01
RET-00313,ORD-003047,PRD-0053,2026-01-31,17,Damaged in Transit,747468.75,Completed,2026-01
RET-00314,ORD-003047,PRD-0052,2026-02-05,17,Damaged in Transit,652460.0,Approved,2026-02
RET-00315,ORD-003057,PRD-0069,2025-07-17,1,Defective Product,39615.0,Completed,2025-07
RET-00316,ORD-003104,PRD-0006,2025-06-28,2,Excess Quantity,51300.0,Completed,2025-06
RET-00317,ORD-003104,PRD-0065,2025-06-19,6,Defective Product,54000.0,Completed,2025-06
RET-00318,ORD-003127,PRD-0005,2026-05-14,11,Incorrect Item,110687.5,Approved,2026-05
RET-00319,ORD-003127,PRD-0027,2026-05-12,15,Excess Quantity,172500.0,Completed,2026-05
RET-00320,ORD-003127,PRD-0003,2026-05-24,1,Excess Quantity,81677.5,Completed,2026-05
RET-00321,ORD-003135,PRD-0005,2026-02-16,18,Incorrect Item,207000.0,Completed,2026-02
RET-00322,ORD-003135,PRD-0023,2026-02-16,3,Customer Requirement Changed,132810.0,Approved,2026-02
RET-00323,ORD-003135,PRD-0007,2026-02-16,1,Excess Quantity,32418.75,Completed,2026-02
RET-00324,ORD-003135,PRD-0053,2026-02-16,8,Incorrect Item,391950.0,Completed,2026-02
RET-00325,ORD-003199,PRD-0036,2025-08-31,5,Customer Requirement Changed,810587.5,Approved,2025-08
